Team,Phase,Season,Venue,Opponent,Match Result,Player,Role,Runs Scored,Balls Faced,Strike Rate,Economy Rate,Wickets Taken,Dot Ball Percentage,Performance vs Team,Bowling Economy vs Team,Rolling Strike Rate,Rolling Economy Rate,Consistency Score
Kolkata Knight Riders,Powerplay,2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Loss,A Raghuvanshi,Batter,6,6,100,,,50,100,,100,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,Loss,A Raghuvanshi,Batter,10,3,333.33,,,0,333.3333333,,216.665,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Eden Gardens, Kolkata",Lucknow Super Giants,Win,A Raghuvanshi,Batter,7,6,116.67,,,66.67,116.6666667,,183.3333333,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Eden Gardens, Kolkata",Rajasthan Royals,Loss,A Raghuvanshi,Batter,15,7,214.29,,,14.29,214.2857143,,191.0725,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,Loss,A Raghuvanshi,Batter,3,4,75,,,75,75,,167.858,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Loss,A Raghuvanshi,Batter,24,17,141.18,,,41.18,141.1764706,,176.094,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Wankhede Stadium, Mumbai",Mumbai Indians,Loss,A Raghuvanshi,Batter,13,7,185.71,,,57.14,185.7142857,,146.57,,85.11666785
Kolkata Knight Riders,Powerplay,2022,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Win,A Tomar,Batter,4,8,50,,,87.5,50,,50,,
Kolkata Knight Riders,Powerplay,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Win,AD Russell,Batter,0,1,0,,,100,0,,0,,86.17020189
Kolkata Knight Riders,Powerplay,2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Loss,AD Russell,Batter,23,9,255.56,,,22.22,255.5555556,,127.78,,86.17020189
Kolkata Knight Riders,Powerplay,2019,Arun Jaitley Stadium,Delhi Capitals,Win,AD Russell,Batter,4,3,133.33,,,66.67,133.3333333,,129.63,,86.17020189
Kolkata Knight Riders,Powerplay,2021,"Wankhede Stadium, Mumbai",Chennai Super Kings,Win,AD Russell,Batter,14,4,350,,,25,350,,184.7225,,86.17020189
Kolkata Knight Riders,Powerplay,2022,"Brabourne Stadium, Mumbai",Rajasthan Royals,Win,AJ Finch,Batter,23,17,135.29,,,47.06,135.2941176,,135.29,,63.77086848
Kolkata Knight Riders,Powerplay,2022,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,Loss,AJ Finch,Batter,7,5,140,,,60,140,,137.645,,63.77086848
Kolkata Knight Riders,Powerplay,2022,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,Win,AJ Finch,Batter,14,15,93.33,,,46.67,93.33333333,,122.8733333,,63.77086848
Kolkata Knight Riders,Powerplay,2022,"Wankhede Stadium, Mumbai",Delhi Capitals,Loss,AJ Finch,Batter,3,8,37.5,,,75,37.5,,101.53,,63.77086848
Kolkata Knight Riders,Powerplay,2022,"Wankhede Stadium, Mumbai",Rajasthan Royals,Win,AJ Finch,Batter,4,8,50,,,62.5,50,,91.224,,63.77086848
Kolkata Knight Riders,Powerplay,2022,"Brabourne Stadium, Mumbai",Delhi Capitals,Win,AM Rahane,Batter,8,14,57.14,,,64.29,57.14285714,,57.14,,51.73694099
Kolkata Knight Riders,Powerplay,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Loss,AM Rahane,Batter,9,11,81.82,,,45.45,81.81818182,,69.48,,51.73694099
Kolkata Knight Riders,Powerplay,2022,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Loss,AM Rahane,Batter,9,10,90,,,50,90,,76.32,,51.73694099
Kolkata Knight Riders,Powerplay,2022,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,Win,AM Rahane,Batter,7,11,63.64,,,45.45,63.63636364,,73.15,,51.73694099
Kolkata Knight Riders,Powerplay,2022,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,Loss,AM Rahane,Batter,20,18,111.11,,,50,111.1111111,,80.742,,51.73694099
Kolkata Knight Riders,Powerplay,2022,"Wankhede Stadium, Mumbai",Chennai Super Kings,Win,AM Rahane,Batter,27,22,122.73,,,59.09,122.7272727,,93.86,,51.73694099
Kolkata Knight Riders,Powerplay,2022,"Wankhede Stadium, Mumbai",Punjab Kings,Win,AM Rahane,Batter,12,12,100,,,75,100,,97.496,,51.73694099
Kolkata Knight Riders,Powerplay,2023,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Win,AS Roy,Batter,4,5,80,,,80,80,,80,,70.34283202
Kolkata Knight Riders,Powerplay,2022,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,Win,B Indrajith,Batter,0,6,0,,,100,0,,0,,40.14768352
Kolkata Knight Riders,Powerplay,2022,"Wankhede Stadium, Mumbai",Delhi Capitals,Loss,B Indrajith,Batter,4,5,80,,,40,80,,40,,40.14768352
Kolkata Knight Riders,Powerplay,2022,"Wankhede Stadium, Mumbai",Rajasthan Royals,Win,B Indrajith,Batter,15,17,88.24,,,52.94,88.23529412,,56.08,,40.14768352
Kolkata Knight Riders,Powerplay,2014,Sharjah Cricket Stadium,Royal Challengers Bangalore,Loss,CA Lynn,Batter,17,14,121.43,,,42.86,121.4285714,,121.43,,65.57876702
Kolkata Knight Riders,Powerplay,2014,Sheikh Zayed Stadium,Kings XI Punjab,Win,CA Lynn,Batter,0,5,0,,,100,0,,60.715,,65.57876702
Kolkata Knight Riders,Powerplay,2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Win,CA Lynn,Batter,15,13,115.38,,,38.46,115.3846154,,78.93666667,,65.57876702
Kolkata Knight Riders,Powerplay,2017,Eden Gardens,Mumbai Indians,Win,CA Lynn,Batter,26,13,200,,,46.15,200,,109.2025,,65.57876702
Kolkata Knight Riders,Powerplay,2017,M Chinnaswamy Stadium,Mumbai Indians,Loss,CA Lynn,Batter,4,8,50,,,62.5,50,,97.362,,65.57876702
Kolkata Knight Riders,Powerplay,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Win,CA Lynn,Batter,49,20,245,,,40,245,,122.076,,65.57876702
Kolkata Knight Riders,Powerplay,2017,M Chinnaswamy Stadium,Sunrisers Hyderabad,Win,CA Lynn,Batter,6,2,300,,,50,300,,182.076,,65.57876702
Kolkata Knight Riders,Powerplay,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Win,CA Lynn,Batter,41,19,215.79,,,26.32,215.7894737,,202.158,,65.57876702
Kolkata Knight Riders,Powerplay,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Win,CA Lynn,Batter,27,15,180,,,46.67,180,,198.158,,65.57876702
Kolkata Knight Riders,Powerplay,2017,Wankhede Stadium,Mumbai Indians,Loss,CA Lynn,Batter,28,23,121.74,,,43.48,121.7391304,,212.506,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Delhi Daredevils,Loss,CA Lynn,Batter,23,18,127.78,,,66.67,127.7777778,,189.062,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Kings XI Punjab,Loss,CA Lynn,Batter,22,17,129.41,,,41.18,129.4117647,,154.944,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Royal Challengers Bangalore,Win,CA Lynn,Batter,5,8,62.5,,,75,62.5,,124.286,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Sunrisers Hyderabad,Loss,CA Lynn,Batter,29,16,181.25,,,37.5,181.25,,124.536,,65.57876702
Kolkata Knight Riders,Powerplay,2018,MA Chidambaram Stadium,Chennai Super Kings,Loss,CA Lynn,Batter,22,16,137.5,,,37.5,137.5,,127.688,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Sawai Mansingh Stadium,Rajasthan Royals,Win,CA Lynn,Batter,0,2,0,,,100,0,,102.132,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Arun Jaitley Stadium,Delhi Capitals,Win,CA Lynn,Batter,17,14,121.43,,,50,121.4285714,,100.536,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Chennai Super Kings,Loss,CA Lynn,Batter,38,26,146.15,,,53.85,146.1538462,,117.266,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Kings XI Punjab,Loss,CA Lynn,Batter,10,10,100,,,60,100,,101.016,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Sunrisers Hyderabad,Win,CA Lynn,Batter,7,11,63.64,,,81.82,63.63636364,,86.244,,65.57876702
Kolkata Knight Riders,Powerplay,2019,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Win,CA Lynn,Batter,30,20,150,,,40,150,,116.244,,65.57876702
Kolkata Knight Riders,Powerplay,2019,MA Chidambaram Stadium,Chennai Super Kings,Loss,CA Lynn,Batter,0,5,0,,,100,0,,91.958,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Sawai Mansingh Stadium,Rajasthan Royals,Win,CA Lynn,Batter,29,20,145,,,55,145,,91.728,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Arun Jaitley Stadium,Delhi Daredevils,Win,CA Lynn,Batter,5,6,83.33,,,66.67,83.33333333,,88.394,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Chennai Super Kings,Win,CA Lynn,Batter,12,6,200,,,66.67,200,,115.666,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Mumbai Indians,Win,CA Lynn,Batter,21,15,140,,,53.33,140,,113.666,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Rajasthan Royals,Loss,CA Lynn,Batter,15,16,93.75,,,50,93.75,,132.416,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Rajasthan Royals,Win,CA Lynn,Batter,17,14,121.43,,,57.14,121.4285714,,127.702,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Sunrisers Hyderabad,Win,CA Lynn,Batter,25,14,178.57,,,35.71,178.5714286,,146.75,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Holkar Cricket Stadium,Kings XI Punjab,Loss,CA Lynn,Batter,27,17,158.82,,,35.29,158.8235294,,138.514,,65.57876702
Kolkata Knight Riders,Powerplay,2018,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Win,CA Lynn,Batter,24,20,120,,,50,120,,134.514,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Win,CA Lynn,Batter,27,19,142.11,,,47.37,142.1052632,,144.186,,65.57876702
Kolkata Knight Riders,Powerplay,2018,Wankhede Stadium,Mumbai Indians,Win,CA Lynn,Batter,17,13,130.77,,,61.54,130.7692308,,146.054,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Mumbai Indians,Loss,CA Lynn,Batter,23,18,127.78,,,38.89,127.7777778,,135.896,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Rajasthan Royals,Loss,CA Lynn,Batter,0,3,0,,,100,0,,104.132,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Royal Challengers Bangalore,Win,CA Lynn,Batter,1,2,50,,,50,50,,90.132,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Win,CA Lynn,Batter,46,22,209.09,,,36.36,209.0909091,,103.528,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Loss,CA Lynn,Batter,23,17,135.29,,,29.41,135.2941176,,104.432,,65.57876702
Kolkata Knight Riders,Powerplay,2019,Wankhede Stadium,Mumbai Indians,Loss,CA Lynn,Batter,38,22,172.73,,,50,172.7272727,,113.422,,65.57876702
Kolkata Knight Riders,Powerplay,2021,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Win,EJG Morgan,Batter,16,10,160,,,50,160,,160,,65.6578157
Kolkata Knight Riders,Powerplay,2021,"Wankhede Stadium, Mumbai",Chennai Super Kings,Win,EJG Morgan,Batter,7,8,87.5,,,75,87.5,,123.75,,65.6578157
Kolkata Knight Riders,Powerplay,2021,"Zayed Cricket Stadium, Abu Dhabi",Chennai Super Kings,Loss,EJG Morgan,Batter,0,5,0,,,100,0,,82.5,,65.6578157
Kolkata Knight Riders,Powerplay,2020/21,Sharjah Cricket Stadium,Kings XI Punjab,Loss,EJG Morgan,Batter,20,12,166.67,,,41.67,166.6666667,,103.5425,,65.6578157
Kolkata Knight Riders,Powerplay,2020/21,Sheikh Zayed Stadium,Kings XI Punjab,Loss,EJG Morgan,Batter,5,7,71.43,,,71.43,71.42857143,,97.12,,65.6578157
Kolkata Knight Riders,Powerplay,2020/21,Sheikh Zayed Stadium,Royal Challengers Bangalore,Loss,EJG Morgan,Batter,1,11,9.09,,,90.91,9.090909091,,66.938,,65.6578157
Kolkata Knight Riders,Powerplay,2020/21,Sheikh Zayed Stadium,Sunrisers Hyderabad,Win,EJG Morgan,Batter,1,2,50,,,50,50,,59.438,,65.6578157
Kolkata Knight Riders,Powerplay,2023,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Loss,JJ Roy,Batter,22,22,100,,,54.55,100,,100,,54.66573138
Kolkata Knight Riders,Powerplay,2023,"Eden Gardens, Kolkata",Lucknow Super Giants,Win,JJ Roy,Batter,36,21,171.43,,,38.1,171.4285714,,135.715,,54.66573138
Kolkata Knight Riders,Powerplay,2023,"Eden Gardens, Kolkata",Punjab Kings,Win,JJ Roy,Batter,29,19,152.63,,,42.11,152.6315789,,141.3533333,,54.66573138
Kolkata Knight Riders,Powerplay,2023,"Eden Gardens, Kolkata",Rajasthan Royals,Loss,JJ Roy,Batter,10,8,125,,,62.5,125,,137.265,,54.66573138
Kolkata Knight Riders,Powerplay,2023,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Loss,JJ Roy,Batter,48,20,240,,,45,240,,157.812,,54.66573138
Kolkata Knight Riders,Powerplay,2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Win,JJ Roy,Batter,12,16,75,,,56.25,75,,152.812,,54.66573138
Kolkata Knight Riders,Powerplay,2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Loss,JJ Roy,Batter,20,20,100,,,65,100,,138.526,,54.66573138
Kolkata Knight Riders,Powerplay,2019,Arun Jaitley Stadium,Delhi Capitals,Win,KD Karthik,Batter,1,1,100,,,0,100,,100,,74.94899333
Kolkata Knight Riders,Powerplay,2019,MA Chidambaram Stadium,Chennai Super Kings,Loss,KD Karthik,Batter,9,13,69.23,,,76.92,69.23076923,,84.615,,74.94899333
Kolkata Knight Riders,Powerplay,2018,Arun Jaitley Stadium,Delhi Daredevils,Win,KD Karthik,Batter,6,7,85.71,,,28.57,85.71428571,,84.98,,74.94899333
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Rajasthan Royals,Loss,KD Karthik,Batter,14,7,200,,,28.57,200,,113.735,,74.94899333
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Rajasthan Royals,Loss,KD Karthik,Batter,0,4,0,,,100,0,,90.988,,74.94899333
Kolkata Knight Riders,Powerplay,2020/21,Sharjah Cricket Stadium,Kings XI Punjab,Loss,KD Karthik,Batter,0,2,0,,,100,0,,70.988,,74.94899333
Kolkata Knight Riders,Powerplay,2020/21,Sheikh Zayed Stadium,Delhi Capitals,Loss,KD Karthik,Batter,1,2,50,,,50,50,,67.142,,74.94899333
Kolkata Knight Riders,Powerplay,2020/21,Sheikh Zayed Stadium,Mumbai Indians,Loss,KD Karthik,Batter,0,3,0,,,100,0,,50,,74.94899333
Kolkata Knight Riders,Powerplay,2020/21,Sheikh Zayed Stadium,Mumbai Indians,Win,KD Karthik,Batter,10,9,111.11,,,55.56,111.1111111,,32.222,,74.94899333
Kolkata Knight Riders,Powerplay,2020/21,Sheikh Zayed Stadium,Royal Challengers Bangalore,Loss,KD Karthik,Batter,1,5,20,,,80,20,,36.222,,74.94899333
Kolkata Knight Riders,Powerplay,2020/21,Sheikh Zayed Stadium,Sunrisers Hyderabad,Win,KD Karthik,Batter,0,4,0,,,100,0,,36.222,,74.94899333
Kolkata Knight Riders,Powerplay,2023,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Loss,Liton Das,Batter,4,4,100,,,75,100,,100,,
Kolkata Knight Riders,Powerplay,2014,Dubai International Cricket Stadium,Delhi Daredevils,Loss,MK Pandey,Batter,16,26,61.54,,,61.54,61.53846154,,61.54,,59.44449378
Kolkata Knight Riders,Powerplay,2014,Eden Gardens,Kings XI Punjab,Loss,MK Pandey,Batter,14,13,107.69,,,38.46,107.6923077,,84.615,,59.44449378
Kolkata Knight Riders,Powerplay,2014,Eden Gardens,Royal Challengers Bangalore,Loss,MK Pandey,Batter,13,13,100,,,69.23,100,,89.74333333,,59.44449378
Kolkata Knight Riders,Powerplay,2014,Eden Gardens,Sunrisers Hyderabad,Win,MK Pandey,Batter,0,5,0,,,100,0,,67.3075,,59.44449378
Kolkata Knight Riders,Powerplay,2014,JSCA International Stadium Complex,Chennai Super Kings,Win,MK Pandey,Batter,1,2,50,,,50,50,,63.846,,59.44449378
Kolkata Knight Riders,Powerplay,2014,M Chinnaswamy Stadium,Kings XI Punjab,Win,MK Pandey,Batter,29,17,170.59,,,23.53,170.5882353,,85.656,,59.44449378
Kolkata Knight Riders,Powerplay,2014,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Win,MK Pandey,Batter,6,8,75,,,62.5,75,,79.118,,59.44449378
Kolkata Knight Riders,Powerplay,2014,Sharjah Cricket Stadium,Royal Challengers Bangalore,Loss,MK Pandey,Batter,5,3,166.67,,,33.33,166.6666667,,92.452,,59.44449378
Kolkata Knight Riders,Powerplay,2014,Sheikh Zayed Stadium,Kings XI Punjab,Win,MK Pandey,Batter,8,11,72.73,,,72.73,72.72727273,,106.998,,59.44449378
Kolkata Knight Riders,Powerplay,2014,Sheikh Zayed Stadium,Mumbai Indians,Loss,MK Pandey,Batter,21,23,91.3,,,52.17,91.30434783,,115.258,,59.44449378
Kolkata Knight Riders,Powerplay,2014,Sheikh Zayed Stadium,Rajasthan Royals,Loss,MK Pandey,Batter,8,3,266.67,,,0,266.6666667,,134.474,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Brabourne Stadium,Rajasthan Royals,Win,MK Pandey,Batter,13,14,92.86,,,50,92.85714286,,138.046,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Win,MK Pandey,Batter,8,6,133.33,,,50,133.3333333,,131.378,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Eden Gardens,Chennai Super Kings,Win,MK Pandey,Batter,0,5,0,,,100,0,,116.832,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Eden Gardens,Delhi Daredevils,Loss,MK Pandey,Batter,6,4,150,,,25,150,,128.572,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Eden Gardens,Kings XI Punjab,Win,MK Pandey,Batter,19,10,190,,,30,190,,113.238,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Eden Gardens,Mumbai Indians,Win,MK Pandey,Batter,19,10,190,,,30,190,,132.666,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Feroz Shah Kotla,Delhi Daredevils,Win,MK Pandey,Batter,0,3,0,,,100,0,,106,,59.44449378
Kolkata Knight Riders,Powerplay,2015,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Win,MK Pandey,Batter,13,17,76.47,,,58.82,76.47058824,,121.294,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Maharashtra Cricket Association Stadium,Kings XI Punjab,Win,MK Pandey,Batter,12,6,200,,,33.33,200,,131.294,,59.44449378
Kolkata Knight Riders,Powerplay,2015,Wankhede Stadium,Mumbai Indians,Win,MK Pandey,Batter,1,1,100,,,0,100,,113.294,,59.44449378
Kolkata Knight Riders,Powerplay,2016,Eden Gardens,Gujarat Lions,Loss,MK Pandey,Batter,0,2,0,,,100,0,,75.294,,59.44449378
Kolkata Knight Riders,Powerplay,2016,Eden Gardens,Mumbai Indians,Loss,MK Pandey,Batter,6,6,100,,,50,100,,95.294,,59.44449378
Kolkata Knight Riders,Powerplay,2016,Eden Gardens,Rising Pune Supergiants,Win,MK Pandey,Batter,15,11,136.36,,,27.27,136.3636364,,107.272,,59.44449378
Kolkata Knight Riders,Powerplay,2016,Eden Gardens,Royal Challengers Bangalore,Loss,MK Pandey,Batter,19,11,172.73,,,36.36,172.7272727,,101.818,,59.44449378
Kolkata Knight Riders,Powerplay,2016,Green Park,Gujarat Lions,Loss,MK Pandey,Batter,1,3,33.33,,,66.67,33.33333333,,88.484,,59.44449378
Kolkata Knight Riders,Powerplay,2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Win,MK Pandey,Batter,1,4,25,,,75,25,,93.484,,59.44449378
Kolkata Knight Riders,Powerplay,2017,Eden Gardens,Rising Pune Supergiant,Loss,MK Pandey,Batter,2,2,100,,,0,100,,93.484,,59.44449378
Kolkata Knight Riders,Powerplay,2017,Eden Gardens,Sunrisers Hyderabad,Loss,MK Pandey,Batter,0,2,0,,,100,0,,66.212,,59.44449378
Kolkata Knight Riders,Powerplay,2017,Feroz Shah Kotla,Delhi Daredevils,Win,MK Pandey,Batter,8,9,88.89,,,44.44,88.88888889,,49.444,,59.44449378
Kolkata Knight Riders,Powerplay,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Win,MK Pandey,Batter,17,11,154.55,,,27.27,154.5454545,,73.688,,59.44449378
Kolkata Knight Riders,Powerplay,2017,Wankhede Stadium,Mumbai Indians,Loss,MK Pandey,Batter,1,3,33.33,,,66.67,33.33333333,,75.354,,59.44449378
Kolkata Knight Riders,Powerplay,2023,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Loss,Mandeep Singh,Batter,2,3,66.67,,,33.33,66.66666667,,66.67,,72.66940007
Kolkata Knight Riders,Powerplay,2023,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Loss,Mandeep Singh,Batter,0,1,0,,,100,0,,33.335,,72.66940007
Kolkata Knight Riders,Powerplay,2023,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Win,Mandeep Singh,Batter,2,4,50,,,50,50,,38.89,,72.66940007
Kolkata Knight Riders,Powerplay,2023,"Eden Gardens, Kolkata",Chennai Super Kings,Win,N Jagadeesan,Batter,1,3,33.33,,,66.67,33.33333333,,33.33,,56.96676949
Kolkata Knight Riders,Powerplay,2023,"Eden Gardens, Kolkata",Gujarat Titans,Loss,N Jagadeesan,Batter,19,16,118.75,,,62.5,118.75,,76.04,,56.96676949
Kolkata Knight Riders,Powerplay,2023,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Win,N Jagadeesan,Batter,20,11,181.82,,,27.27,181.8181818,,111.3,,56.96676949
Kolkata Knight Riders,Powerplay,2023,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Loss,N Jagadeesan,Batter,17,17,100,,,52.94,100,,108.475,,56.96676949
Kolkata Knight Riders,Powerplay,2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Win,N Jagadeesan,Batter,6,8,75,,,62.5,75,,101.78,,56.96676949
Kolkata Knight Riders,Powerplay,2023,"Wankhede Stadium, Mumbai",Mumbai Indians,Loss,N Jagadeesan,Batter,0,6,0,,,100,0,,95.114,,56.96676949
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Royal Challengers Bangalore,Win,N Rana,Batter,0,3,0,,,100,0,,0,,70.36972843
Kolkata Knight Riders,Powerplay,2018,Eden Gardens,Sunrisers Hyderabad,Loss,N Rana,Batter,17,12,141.67,,,50,141.6666667,,70.835,,70.36972843
Kolkata Knight Riders,Powerplay,2018,MA Chidambaram Stadium,Chennai Super Kings,Loss,N Rana,Batter,1,2,50,,,50,50,,63.89,,70.36972843
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Chennai Super Kings,Loss,N Rana,Batter,5,3,166.67,,,33.33,166.6666667,,89.585,,70.36972843
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Kings XI Punjab,Loss,N Rana,Batter,2,5,40,,,60,40,,79.668,,70.36972843
Kolkata Knight Riders,Powerplay,2019,Eden Gardens,Sunrisers Hyderabad,Win,N Rana,Batter,23,15,153.33,,,40,153.3333333,,110.334,,70.36972843
Kolkata Knight Riders,Powerplay,2019,MA Chidambaram Stadium,Chennai Super Kings,Loss,N Rana,Batter,0,4,0,,,100,0,,82,,70.36972843
Kolkata Knight Riders,Powerplay,2021,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Loss,N Rana,Batter,15,12,125,,,41.67,125,,97,,70.36972843
Kolkata Knight Riders,Powerplay,2021,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Win,N Rana,Batter,0,1,0,,,100,0,,63.666,,70.36972843
Kolkata Knight Riders,Powerplay,2021,Sharjah Cricket Stadium,Delhi Capitals,Win,N Rana,Batter,0,1,0,,,100,0,,55.666,,70.36972843
Kolkata Knight Riders,Powerplay,2021,"Wankhede Stadium, Mumbai",Chennai Super Kings,Win,N Rana,Batter,9,13,69.23,,,76.92,69.23076923,,38.846,,70.36972843
Kolkata Knight Riders,Powerplay,2021,"Wankhede Stadium, Mumbai",Rajasthan Royals,Loss,N Rana,Batter,12,19,63.16,,,57.89,63.15789474,,51.478,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Brabourne Stadium, Mumbai",Delhi Capitals,Win,N Rana,Batter,2,4,50,,,75,50,,36.478,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,Loss,N Rana,Batter,0,4,0,,,100,0,,36.478,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Win,N Rana,Batter,2,7,28.57,,,71.43,28.57142857,,42.192,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Win,N Rana,Batter,39,19,205.26,,,36.84,205.2631579,,69.398,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Loss,N Rana,Batter,4,2,200,,,50,200,,96.766,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Loss,N Rana,Batter,10,5,200,,,60,200,,126.766,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,Win,N Rana,Batter,2,6,33.33,,,66.67,33.33333333,,133.432,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,Loss,N Rana,Batter,24,13,184.62,,,53.85,184.6153846,,164.642,,70.36972843
Kolkata Knight Riders,Powerplay,2022,"Wankhede Stadium, Mumbai",Rajasthan Royals,Win,N Rana,Batter,0,2,0,,,100,0,,123.59,,70.36972843
